from_to_hr,probability
"((1, 6), 7)",2.898466711109823e-05
"((1, 8), 6)",2.898466711109823e-05
"((1, 9), 6)",2.898466711109823e-05
"((1, 49), 7)",0.00011593866844439292
"((1, 50), 6)",2.898466711109823e-05
"((1, 50), 8)",2.898466711109823e-05
"((1, 104), 9)",2.898466711109823e-05
"((1, 121), 6)",2.898466711109823e-05
"((1, 153), 9)",2.898466711109823e-05
"((1, 167), 6)",2.898466711109823e-05
"((1, 183), 8)",2.898466711109823e-05
"((1, 190), 9)",2.898466711109823e-05
"((1, 239), 7)",2.898466711109823e-05
"((1, 239), 9)",5.796933422219646e-05
"((2, 6), 7)",2.898466711109823e-05
"((2, 6), 9)",2.898466711109823e-05
"((2, 202), 9)",2.898466711109823e-05
"((3, 104), 8)",2.898466711109823e-05
"((3, 153), 6)",5.796933422219646e-05
"((3, 179), 9)",2.898466711109823e-05
"((3, 181), 8)",2.898466711109823e-05
"((3, 202), 7)",2.898466711109823e-05
"((3, 207), 8)",2.898466711109823e-05
"((3, 217), 9)",2.898466711109823e-05
"((4, 6), 7)",5.796933422219646e-05
"((4, 9), 9)",2.898466711109823e-05
"((4, 104), 8)",2.898466711109823e-05
"((4, 188), 8)",2.898466711109823e-05
"((4, 222), 6)",2.898466711109823e-05
"((4, 227), 6)",2.898466711109823e-05
"((5, 6), 6)",2.898466711109823e-05
"((5, 6), 8)",8.695400133329469e-05
"((5, 6), 9)",2.898466711109823e-05
"((5, 9), 7)",0.0002028926697776876
"((5, 9), 8)",2.898466711109823e-05
"((5, 43), 7)",2.898466711109823e-05
"((5, 55), 7)",2.898466711109823e-05
"((5, 65), 8)",2.898466711109823e-05
"((5, 134), 8)",2.898466711109823e-05
"((5, 134), 9)",2.898466711109823e-05
"((5, 141), 9)",2.898466711109823e-05
"((5, 143), 6)",2.898466711109823e-05
"((5, 148), 9)",2.898466711109823e-05
"((5, 153), 8)",2.898466711109823e-05
"((5, 159), 7)",2.898466711109823e-05
"((5, 159), 8)",2.898466711109823e-05
"((5, 167), 7)",5.796933422219646e-05
"((5, 167), 8)",8.695400133329469e-05
"((5, 172), 6)",2.898466711109823e-05
"((5, 172), 8)",2.898466711109823e-05
"((5, 172), 9)",2.898466711109823e-05
