Bin_Start,Probability
325,0.0018181818181818182
350,0.0
375,0.0
400,0.0
425,0.0018181818181818182
450,0.0
475,0.0
500,0.0
525,0.0
550,0.0
575,0.0
600,0.0
625,0.0
650,0.0
675,0.0
700,0.0
725,0.0
750,0.0
775,0.0
800,0.0018181818181818182
825,0.0
850,0.0
875,0.0
900,0.0
925,0.0
950,0.0
975,0.0018181818181818182
1000,0.0
1025,0.0
1050,0.0
1075,0.0
1100,0.0
1125,0.0018181818181818182
1150,0.0
1175,0.0
1200,0.0018181818181818182
1225,0.0
1250,0.0
1275,0.0
1300,0.0
1325,0.0
1350,0.0
1375,0.0
1400,0.0018181818181818182
1425,0.0018181818181818182
1450,0.0
1475,0.0018181818181818182
1500,0.0018181818181818182
1525,0.0036363636363636364
1550,0.0018181818181818182
1575,0.0018181818181818182
1600,0.0
1625,0.0
1650,0.0
1675,0.0
1700,0.0036363636363636364
1725,0.0
1750,0.0018181818181818182
1775,0.0
1800,0.0
1825,0.0018181818181818182
1850,0.0
1875,0.0
1900,0.0
1925,0.0
1950,0.0
1975,0.0036363636363636364
2000,0.0
2025,0.0
2050,0.0018181818181818182
2075,0.0
2100,0.0
2125,0.0
2150,0.0
2175,0.0
2200,0.0018181818181818182
2225,0.0
2250,0.0
2275,0.0
2300,0.0
